round,scope,value
0,global,0.512623191
0,inter_cluster,0.516736796
0,consensus,0.349524592
1,global,0.784265032
1,inter_cluster,0.792959648
1,consensus,0.545110253
2,global,0.879918501
2,inter_cluster,0.889734651
2,consensus,0.612996026
3,global,0.979238506
3,inter_cluster,0.986630151
3,consensus,0.680619453
4,global,1.098780642
4,inter_cluster,1.108642395
4,consensus,0.763607683
5,global,1.254337569
5,inter_cluster,1.265974098
5,consensus,0.872032274
6,global,1.349437730
6,inter_cluster,1.361135797
6,consensus,0.941437508
7,global,1.426138322
7,inter_cluster,1.437751859
7,consensus,0.996387554
8,global,1.458599149
8,inter_cluster,1.470776605
8,consensus,1.019687562
9,global,1.439031876
9,inter_cluster,1.453523286
9,consensus,1.005913987
10,global,1.439762438
10,inter_cluster,1.456048594
10,consensus,1.002713472
11,global,1.430052341
11,inter_cluster,1.445852376
11,consensus,0.999972693
12,global,1.345455017
12,inter_cluster,1.363143503
12,consensus,0.938561946
13,global,1.336011648
13,inter_cluster,1.349659003
13,consensus,0.931992440
14,global,1.323831649
14,inter_cluster,1.337479792
14,consensus,0.920128978
15,global,1.276176559
15,inter_cluster,1.290077204
15,consensus,0.890019236
16,global,1.220892773
16,inter_cluster,1.230842527
16,consensus,0.853562169
17,global,1.217564393
17,inter_cluster,1.224665870
17,consensus,0.847841512
18,global,1.199732422
18,inter_cluster,1.211855827
18,consensus,0.834266669
19,global,1.176617518
19,inter_cluster,1.191403952
19,consensus,0.821349652
20,global,1.126236651
20,inter_cluster,1.142786035
20,consensus,0.786851416
21,global,1.081087798
21,inter_cluster,1.090819476
21,consensus,0.756857013
22,global,1.139471586
22,inter_cluster,1.153947325
22,consensus,0.794668354
23,global,1.121113270
23,inter_cluster,1.132966444
23,consensus,0.783925683
24,global,1.092241780
24,inter_cluster,1.103727827
24,consensus,0.760762552
25,global,1.044993900
25,inter_cluster,1.063645544
25,consensus,0.729777901
26,global,1.022140885
26,inter_cluster,1.036315026
26,consensus,0.714707359
27,global,1.085118214
27,inter_cluster,1.101337535
27,consensus,0.755658373
28,global,1.053880082
28,inter_cluster,1.067637493
28,consensus,0.738000319
29,global,1.018426305
29,inter_cluster,1.036713111
29,consensus,0.716185455
30,global,1.069782591
30,inter_cluster,1.092319528
30,consensus,0.743691846
31,global,1.054254599
31,inter_cluster,1.068456967
31,consensus,0.737182027
32,global,1.035444985
32,inter_cluster,1.052797325
32,consensus,0.721885168
33,global,1.036463878
33,inter_cluster,1.051709356
33,consensus,0.720772620
34,global,0.982332176
34,inter_cluster,0.999823247
34,consensus,0.686887022
35,global,0.998414393
35,inter_cluster,1.014285646
35,consensus,0.697509358
36,global,1.001067450
36,inter_cluster,1.017242637
36,consensus,0.700324827
37,global,1.053512753
37,inter_cluster,1.071976469
37,consensus,0.733259381
38,global,1.029534111
38,inter_cluster,1.050867402
38,consensus,0.714924480
39,global,1.040912140
39,inter_cluster,1.050583292
39,consensus,0.722074239
40,global,1.016794480
40,inter_cluster,1.025814733
40,consensus,0.710274860
41,global,1.009574327
41,inter_cluster,1.021869519
41,consensus,0.704333646
42,global,0.960216499
42,inter_cluster,0.967874018
42,consensus,0.670236799
43,global,0.978806214
43,inter_cluster,0.988662344
43,consensus,0.680925817
44,global,0.944011156
44,inter_cluster,0.951333240
44,consensus,0.659921956
45,global,0.923852788
45,inter_cluster,0.931791204
45,consensus,0.647351322
46,global,0.953755995
46,inter_cluster,0.967272874
46,consensus,0.665990342
47,global,1.030853903
47,inter_cluster,1.046200979
47,consensus,0.717215363
48,global,0.946808404
48,inter_cluster,0.962139100
48,consensus,0.664696296
