round,scope,value
0,global,0.458418713
0,inter_cluster,0.460130674
0,consensus,0.314775107
1,global,0.712582889
1,inter_cluster,0.712126156
1,consensus,0.492529071
2,global,0.818593245
2,inter_cluster,0.817462429
2,consensus,0.568386345
3,global,0.913646386
3,inter_cluster,0.911789526
3,consensus,0.634145876
4,global,1.052778844
4,inter_cluster,1.051877023
4,consensus,0.728378326
5,global,1.185946325
5,inter_cluster,1.186194911
5,consensus,0.823589738
6,global,1.303732874
6,inter_cluster,1.303095084
6,consensus,0.911169024
7,global,1.383923715
7,inter_cluster,1.381884778
7,consensus,0.970276852
8,global,1.456767737
8,inter_cluster,1.454242456
8,consensus,1.022025234
9,global,1.452814464
9,inter_cluster,1.449660637
9,consensus,1.023759396
10,global,1.465738783
10,inter_cluster,1.465260903
10,consensus,1.036960623
11,global,1.460186456
11,inter_cluster,1.457075909
11,consensus,1.038157139
12,global,1.433158384
12,inter_cluster,1.429520542
12,consensus,1.025287494
13,global,1.455919576
13,inter_cluster,1.452907775
13,consensus,1.042406438
14,global,1.414766174
14,inter_cluster,1.409566652
14,consensus,1.016984260
15,global,1.453216465
15,inter_cluster,1.445967764
15,consensus,1.044929818
16,global,1.439867809
16,inter_cluster,1.437408099
16,consensus,1.031901549
17,global,1.431239749
17,inter_cluster,1.426373658
17,consensus,1.028947271
18,global,1.461615559
18,inter_cluster,1.460622450
18,consensus,1.046728396
19,global,1.437897295
19,inter_cluster,1.435804014
19,consensus,1.036654514
20,global,1.403250291
20,inter_cluster,1.400270096
20,consensus,1.011576960
21,global,1.393619569
21,inter_cluster,1.386850283
21,consensus,1.001596665
22,global,1.351937863
22,inter_cluster,1.346387532
22,consensus,0.974293618
23,global,1.354631658
23,inter_cluster,1.348614335
23,consensus,0.974113226
24,global,1.389425343
24,inter_cluster,1.384607770
24,consensus,0.993949765
25,global,1.313603806
25,inter_cluster,1.310691274
25,consensus,0.949403533
26,global,1.330889755
26,inter_cluster,1.324590387
26,consensus,0.958449788
27,global,1.331200333
27,inter_cluster,1.324525721
27,consensus,0.958621981
28,global,1.320834440
28,inter_cluster,1.316615635
28,consensus,0.948340644
29,global,1.284052041
29,inter_cluster,1.281213104
29,consensus,0.921656131
30,global,1.323027206
