round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,2;5,1727768,1727768,125,83,918,793
0,1,2;9,2468240,2468240,88,46,918,830
0,2,5;8,2221416,2221416,130,102,918,788
0,3,2;9,1727768,1727768,64,29,918,854
0,4,7;10,987296,987296,82,51,918,836
0,5,0;2,493648,493648,59,47,918,859
0,6,2;13,1234120,1234120,59,25,918,859
0,7,1;4,493648,493648,61,48,918,857
0,8,2;3,1234120,1234120,68,41,918,850
0,9,1;3,1480944,1480944,80,43,918,838
0,10,1;4,740472,740472,84,53,918,834
0,11,1;12,493648,493648,99,87,918,819
0,12,1;11,493648,493648,57,44,918,861
0,13,4;6,493648,493648,67,54,918,851
0,14,0;2,740472,740472,145,110,918,773
0,15,6;8,493648,493648,596,568,918,322
0,16,0;1,740472,740472,486,434,918,432
0,17,0;1,740472,740472,665,629,918,253
0,18,1;9,493648,493648,566,526,918,352
0,19,2;3,493648,493648,512,484,918,406
0,20,3;9,493648,493648,440,413,918,478
0,21,0;6,493648,493648,619,584,918,299
0,22,1;14,493648,493648,869,833,918,49
0,23,9;16,493648,493648,519,467,918,399
0,24,8;9,740472,740472,904,866,918,14
0,25,0;3,493648,493648,533,502,918,385
0,26,2;4,493648,493648,559,528,918,359
0,27,6;10,493648,493648,651,620,918,267
0,28,3;24,493648,493648,615,577,918,303
0,29,8;17,493648,493648,454,418,918,464
1,0,2;6,1974592,1974592,125,83,918,793
1,1,2;9,2468240,2468240,88,46,918,830
1,2,6;8,2221416,2221416,130,102,918,788
1,3,2;9,1727768,1727768,64,29,918,854
1,4,7;13,987296,987296,82,51,918,836
1,5,0;2,493648,493648,59,47,918,859
1,6,2;13,1480944,1480944,59,25,918,859
1,7,1;4,493648,493648,61,48,918,857
1,8,2;3,1234120,1234120,68,41,918,850
1,9,1;3,1480944,1480944,80,43,918,838
1,10,1;4,740472,740472,84,53,918,834
1,11,1;12,493648,493648,99,87,918,819
1,12,1;11,493648,493648,57,44,918,861
1,13,4;6,493648,493648,67,54,918,851
1,14,0;2,740472,740472,145,110,918,773
1,15,6;8,493648,493648,596,568,918,322
1,16,0;1,740472,740472,486,434,918,432
1,17,0;1,740472,740472,665,629,918,253
1,18,1;9,493648,493648,566,526,918,352
1,19,2;3,493648,493648,512,484,918,406
1,20,3;9,493648,493648,440,413,918,478
1,21,0;6,493648,493648,619,584,918,299
1,22,1;14,493648,493648,869,833,918,49
1,23,9;16,493648,493648,519,467,918,399
1,24,8;9,740472,740472,904,866,918,14
1,25,0;3,493648,493648,533,502,918,385
1,26,2;4,493648,493648,559,528,918,359
1,27,6;10,493648,493648,651,620,918,267
1,28,3;24,493648,493648,615,577,918,303
1,29,8;17,493648,493648,454,418,918,464
2,0,2;6,1974592,1974592,125,83,918,793
2,1,2;9,2221416,2221416,88,46,918,830
2,2,5;8,2221416,2221416,130,102,918,788
2,3,2;9,1974592,1974592,64,29,918,854
2,4,7;13,987296,987296,82,51,918,836
2,5,0;2,493648,493648,59,47,918,859
2,6,2;13,1480944,1480944,59,25,918,859
2,7,1;4,493648,493648,61,48,918,857
2,8,2;3,1234120,1234120,68,41,918,850
2,9,1;3,1480944,1480944,80,43,918,838
2,10,1;4,740472,740472,84,53,918,834
2,11,3;12,493648,493648,99,87,918,819
2,12,1;11,493648,493648,57,44,918,861
2,13,4;6,493648,493648,67,54,918,851
2,14,0;2,740472,740472,145,110,918,773
2,15,6;8,493648,493648,596,568,918,322
2,16,0;1,740472,740472,486,434,918,432
2,17,0;1,740472,740472,665,629,918,253
2,18,1;9,493648,493648,566,526,918,352
2,19,2;3,493648,493648,512,484,918,406
2,20,3;9,493648,493648,440,413,918,478
2,21,0;6,493648,493648,619,584,918,299
2,22,1;14,493648,493648,869,833,918,49
2,23,9;16,493648,493648,519,467,918,399
2,24,8;9,740472,740472,904,866,918,14
2,25,0;3,493648,493648,533,502,918,385
2,26,2;4,493648,493648,559,528,918,359
2,27,6;10,493648,493648,651,620,918,267
2,28,3;24,493648,493648,615,577,918,303
2,29,8;17,493648,493648,454,418,918,464
3,0,2;14,1727768,1727768,125,83,918,793
3,1,2;9,2468240,2468240,88,46,918,830
3,2,6;8,2221416,2221416,130,102,918,788
3,3,2;9,1727768,1727768,64,29,918,854
3,4,7;10,987296,987296,82,51,918,836
3,5,0;2,493648,493648,59,47,918,859
3,6,2;13,1234120,1234120,59,25,918,859
3,7,1;4,493648,493648,61,48,918,857
3,8,2;3,1234120,1234120,68,41,918,850
3,9,1;3,1480944,1480944,80,43,918,838
3,10,1;4,740472,740472,84,53,918,834
3,11,1;12,493648,493648,99,87,918,819
3,12,1;11,493648,493648,57,44,918,861
3,13,4;6,493648,493648,67,54,918,851
3,14,0;2,740472,740472,145,110,918,773
3,15,6;8,493648,493648,596,568,918,322
3,16,0;1,740472,740472,486,434,918,432
3,17,0;1,740472,740472,665,629,918,253
3,18,1;9,493648,493648,566,526,918,352
3,19,2;3,493648,493648,512,484,918,406
3,20,3;9,493648,493648,440,413,918,478
3,21,0;6,493648,493648,619,584,918,299
3,22,1;14,493648,493648,869,833,918,49
3,23,9;16,493648,493648,519,467,918,399
3,24,8;9,740472,740472,904,866,918,14
3,25,0;3,493648,493648,533,502,918,385
3,26,2;4,493648,493648,559,528,918,359
3,27,6;10,493648,493648,651,620,918,267
3,28,3;24,493648,493648,615,577,918,303
3,29,8;17,493648,493648,454,418,918,464
4,0,2;14,1727768,1727768,125,83,918,793
