round,scope,value
0,global,0.458418718
0,inter_cluster,0.460130681
0,consensus,0.314775112
1,global,0.716013576
1,inter_cluster,0.716001796
1,consensus,0.495172901
2,global,0.826430259
2,inter_cluster,0.829005660
2,consensus,0.573819928
3,global,0.912378772
3,inter_cluster,0.914295964
3,consensus,0.632461012
4,global,1.043871936
4,inter_cluster,1.047526720
4,consensus,0.721515368
5,global,1.163803259
5,inter_cluster,1.167093209
5,consensus,0.804740904
6,global,1.275025655
6,inter_cluster,1.277967337
6,consensus,0.886497537
7,global,1.318803876
7,inter_cluster,1.321158067
7,consensus,0.916666051
8,global,1.359962088
8,inter_cluster,1.362342826
8,consensus,0.939687521
9,global,1.323034666
9,inter_cluster,1.326615565
9,consensus,0.916944927
10,global,1.274392064
10,inter_cluster,1.281917950
10,consensus,0.885071822
11,global,1.228554464
11,inter_cluster,1.234700129
11,consensus,0.853589009
12,global,1.138317397
12,inter_cluster,1.144834082
12,consensus,0.789730961
13,global,1.153875874
13,inter_cluster,1.160996781
13,consensus,0.800039226
14,global,1.067997531
14,inter_cluster,1.075646117
14,consensus,0.742184612
15,global,1.093105328
15,inter_cluster,1.101637597
15,consensus,0.757501063
16,global,1.044901723
16,inter_cluster,1.053636156
16,consensus,0.724532191
17,global,1.045717740
17,inter_cluster,1.051582443
17,consensus,0.722885518
18,global,1.011059705
18,inter_cluster,1.021323797
18,consensus,0.699127629
19,global,0.966070448
19,inter_cluster,0.973725599
19,consensus,0.667587608
20,global,0.946003237
20,inter_cluster,0.953611745
20,consensus,0.654653038
21,global,0.951228479
21,inter_cluster,0.959839142
21,consensus,0.657639414
22,global,0.906187047
22,inter_cluster,0.916331557
22,consensus,0.627073528
23,global,0.882628687
23,inter_cluster,0.889537716
23,consensus,0.610412223
24,global,0.957239782
24,inter_cluster,0.963991181
24,consensus,0.658386459
25,global,0.875050498
25,inter_cluster,0.879870344
25,consensus,0.606425910
26,global,1.006336414
26,inter_cluster,1.009775950
26,consensus,0.680750455
27,global,1.034575770
27,inter_cluster,1.038511018
27,consensus,0.699265129
28,global,0.940417622
28,inter_cluster,0.945474361
28,consensus,0.640162283
29,global,0.869795638
29,inter_cluster,0.872830034
29,consensus,0.597735640
30,global,0.892464527
30,inter_cluster,0.898236423
30,consensus,0.613308009
31,global,0.846409543
31,inter_cluster,0.851013660
31,consensus,0.585854468
32,global,0.874410413
32,inter_cluster,0.880331617
32,consensus,0.601545334
33,global,0.859928797
33,inter_cluster,0.865841909
33,consensus,0.592127037
34,global,0.827624887
34,inter_cluster,0.833010345
34,consensus,0.574125230
35,global,0.792679376
35,inter_cluster,0.796668914
35,consensus,0.548129163
36,global,0.886729124
36,inter_cluster,0.891092966
36,consensus,0.609548321
37,global,0.807904848
37,inter_cluster,0.811853327
37,consensus,0.557302158
38,global,0.882199296
38,inter_cluster,0.883638561
38,consensus,0.603214235
39,global,0.822085868
39,inter_cluster,0.828333303
39,consensus,0.564600049
40,global,0.836949165
40,inter_cluster,0.845140662
40,consensus,0.576055670
41,global,0.806852065
41,inter_cluster,0.814679175
41,consensus,0.556533473
42,global,0.801121384
42,inter_cluster,0.807032494
42,consensus,0.552732252
43,global,0.786557484
43,inter_cluster,0.791126798
43,consensus,0.543316594
44,global,0.777739573
44,inter_cluster,0.783375763
44,consensus,0.535757772
45,global,0.807054927
45,inter_cluster,0.811128830
45,consensus,0.554975315
46,global,0.789401718
46,inter_cluster,0.796536725
46,consensus,0.543151794
47,global,0.898436760
47,inter_cluster,0.903607741
47,consensus,0.615146159
48,global,0.848455952
48,inter_cluster,0.855665251
48,consensus,0.581453139
49,global,0.779329553
49,inter_cluster,0.783614388
49,consensus,0.536931027
50,global,0.788138738
50,inter_cluster,0.797160874
50,consensus,0.542068566
51,global,0.917407312
51,inter_cluster,0.923892341
51,consensus,0.624332372
52,global,0.801995789
52,inter_cluster,0.808855671
52,consensus,0.553331722
53,global,0.845948860
53,inter_cluster,0.850356263
53,consensus,0.581532984
54,global,0.765877141
54,inter_cluster,0.773633172
54,consensus,0.528193964
55,global,0.776884467
55,inter_cluster,0.782635306
55,consensus,0.535917044
56,global,0.808773633
56,inter_cluster,0.820681808
