round,node,idle_ticks,busy_ticks
0,0,796,106
0,1,769,133
0,2,842,60
0,3,810,92
0,4,847,55
0,5,837,65
0,6,853,49
0,7,839,63
0,8,826,76
0,9,817,85
0,10,828,74
0,11,825,77
0,12,792,110
0,13,812,90
0,14,819,83
0,15,475,427
0,16,179,723
0,17,208,694
0,18,235,667
0,19,298,604
0,20,387,515
0,21,281,621
0,22,287,615
0,23,1,901
0,24,486,416
0,25,480,422
0,26,265,637
0,27,296,606
0,28,311,591
0,29,320,582
1,0,796,106
1,1,769,133
1,2,842,60
1,3,810,92
1,4,847,55
1,5,837,65
1,6,853,49
1,7,839,63
1,8,826,76
1,9,817,85
1,10,828,74
1,11,825,77
1,12,792,110
1,13,812,90
1,14,819,83
1,15,475,427
1,16,179,723
1,17,208,694
1,18,235,667
1,19,298,604
1,20,387,515
1,21,281,621
1,22,287,615
1,23,1,901
1,24,486,416
1,25,480,422
1,26,265,637
1,27,296,606
1,28,311,591
1,29,320,582
2,0,796,106
2,1,769,133
2,2,842,60
2,3,810,92
2,4,847,55
2,5,837,65
2,6,853,49
2,7,839,63
2,8,826,76
2,9,817,85
2,10,828,74
2,11,825,77
2,12,792,110
2,13,812,90
2,14,819,83
2,15,475,427
2,16,179,723
2,17,208,694
2,18,235,667
2,19,298,604
2,20,387,515
2,21,281,621
2,22,287,615
2,23,1,901
2,24,486,416
2,25,480,422
2,26,265,637
2,27,296,606
2,28,311,591
2,29,320,582
3,0,796,106
3,1,769,133
3,2,842,60
3,3,810,92
3,4,847,55
3,5,837,65
3,6,853,49
3,7,839,63
3,8,826,76
3,9,817,85
3,10,828,74
3,11,825,77
3,12,792,110
3,13,812,90
3,14,819,83
3,15,475,427
3,16,179,723
3,17,208,694
3,18,235,667
3,19,298,604
3,20,387,515
3,21,281,621
3,22,287,615
3,23,1,901
3,24,486,416
3,25,480,422
3,26,265,637
3,27,296,606
3,28,311,591
3,29,320,582
4,0,796,106
4,1,769,133
4,2,842,60
4,3,810,92
4,4,847,55
4,5,837,65
4,6,853,49
4,7,839,63
4,8,826,76
4,9,817,85
4,10,828,74
4,11,825,77
4,12,792,110
4,13,812,90
4,14,819,83
4,15,475,427
4,16,179,723
4,17,208,694
4,18,235,667
4,19,298,604
4,20,387,515
