round,node,ul_bytes,dl_bytes,energy_mj
0,0,2221416,2221416,31966.664536
0,1,2221416,2221416,31966.664536
0,2,1480944,1480944,31966.665246
0,3,1727768,1727768,31966.665010
0,4,1234120,1234120,31966.665483
0,5,493648,493648,31966.666193
0,6,1234120,1234120,31966.665483
0,7,493648,493648,31966.666193
0,8,1234120,1234120,31966.665483
0,9,1480944,1480944,31966.665246
0,10,740472,740472,31966.665957
0,11,740472,740472,31966.665957
0,12,493648,493648,31966.666193
0,13,493648,493648,31966.666193
0,14,740472,740472,31966.665957
0,15,493648,493648,31966.666193
0,16,740472,740472,31966.665957
0,17,740472,740472,31966.665957
0,18,493648,493648,31966.666193
0,19,493648,493648,31966.666193
0,20,493648,493648,31966.666193
0,21,493648,493648,31966.666193
0,22,493648,493648,31966.666193
0,23,493648,493648,31966.666193
0,24,740472,740472,31966.665957
0,25,493648,493648,31966.666193
0,26,493648,493648,31966.666193
0,27,493648,493648,31966.666193
0,28,493648,493648,31966.666193
0,29,493648,493648,31966.666193
1,0,2468240,2468240,31966.664300
1,1,2221416,2221416,31966.664536
1,2,1974592,1974592,31966.664773
1,3,1974592,1974592,31966.664773
1,4,1480944,1480944,31966.665246
1,5,493648,493648,31966.666193
1,6,1480944,1480944,31966.665246
1,7,493648,493648,31966.666193
1,8,1234120,1234120,31966.665483
1,9,1234120,1234120,31966.665483
1,10,740472,740472,31966.665957
1,11,493648,493648,31966.666193
1,12,493648,493648,31966.666193
1,13,493648,493648,31966.666193
1,14,740472,740472,31966.665957
1,15,493648,493648,31966.666193
1,16,740472,740472,31966.665957
1,17,740472,740472,31966.665957
1,18,493648,493648,31966.666193
1,19,493648,493648,31966.666193
1,20,493648,493648,31966.666193
1,21,493648,493648,31966.666193
1,22,493648,493648,31966.666193
1,23,493648,493648,31966.666193
1,24,740472,740472,31966.665957
1,25,493648,493648,31966.666193
1,26,493648,493648,31966.666193
1,27,493648,493648,31966.666193
1,28,493648,493648,31966.666193
1,29,493648,493648,31966.666193
2,0,1480944,1480944,31966.665246
2,1,2715064,2715064,31966.664063
2,2,1727768,1727768,31966.665010
2,3,2221416,2221416,31966.664536
2,4,1234120,1234120,31966.665483
2,5,493648,493648,31966.666193
2,6,1234120,1234120,31966.665483
2,7,493648,493648,31966.666193
2,8,1234120,1234120,31966.665483
2,9,1480944,1480944,31966.665246
2,10,740472,740472,31966.665957
2,11,740472,740472,31966.665957
2,12,493648,493648,31966.666193
2,13,493648,493648,31966.666193
2,14,740472,740472,31966.665957
2,15,493648,493648,31966.666193
2,16,740472,740472,31966.665957
2,17,740472,740472,31966.665957
2,18,493648,493648,31966.666193
2,19,493648,493648,31966.666193
2,20,493648,493648,31966.666193
2,21,493648,493648,31966.666193
2,22,493648,493648,31966.666193
2,23,493648,493648,31966.666193
2,24,740472,740472,31966.665957
2,25,493648,493648,31966.666193
2,26,493648,493648,31966.666193
2,27,493648,493648,31966.666193
2,28,493648,493648,31966.666193
2,29,493648,493648,31966.666193
3,0,1974592,1974592,31966.664773
3,1,2961888,2961888,31966.663826
3,2,2221416,2221416,31966.664536
3,3,1974592,1974592,31966.664773
3,4,1234120,1234120,31966.665483
3,5,493648,493648,31966.666193
3,6,1480944,1480944,31966.665246
3,7,493648,493648,31966.666193
3,8,1234120,1234120,31966.665483
3,9,1480944,1480944,31966.665246
3,10,740472,740472,31966.665957
3,11,493648,493648,31966.666193
3,12,493648,493648,31966.666193
3,13,493648,493648,31966.666193
3,14,740472,740472,31966.665957
3,15,493648,493648,31966.666193
3,16,740472,740472,31966.665957
3,17,740472,740472,31966.665957
3,18,493648,493648,31966.666193
3,19,493648,493648,31966.666193
3,20,493648,493648,31966.666193
3,21,493648,493648,31966.666193
3,22,493648,493648,31966.666193
3,23,493648,493648,31966.666193
3,24,740472,740472,31966.665957
3,25,493648,493648,31966.666193
3,26,493648,493648,31966.666193
3,27,493648,493648,31966.666193
3,28,493648,493648,31966.666193
3,29,493648,493648,31966.666193
4,0,1974592,1974592,31966.664773
4,1,2468240,2468240,31966.664300
4,2,2221416,2221416,31966.664536
4,3,1974592,1974592,31966.664773
4,4,987296,987296,31966.665720
4,5,493648,493648,31966.666193
4,6,1480944,1480944,31966.665246
4,7,493648,493648,31966.666193
4,8,1234120,1234120,31966.665483
4,9,1480944,1480944,31966.665246
4,10,740472,740472,31966.665957
4,11,740472,740472,31966.665957
4,12,493648,493648,31966.666193
4,13,493648,493648,31966.666193
4,14,740472,740472,31966.665957
4,15,493648,493648,31966.666193
4,16,740472,740472,31966.665957
4,17,740472,740472,31966.665957
4,18,493648,493648,31966.666193
4,19,493648,493648,31966.666193
4,20,493648,493648,31966.666193
4,21,493648,493648,31966.666193
4,22,493648,493648,31966.666193
4,23,493648,493648,31966.666193
4,24,740472,740472,31966.665957
4,25,493648,493648,31966.666193
4,26,493648,493648,31966.666193
4,27,493648,493648,31966.666193
4,28,493648,493648,31966.666193
4,29,493648,493648,31966.666193
5,0,2221416,2221416,31966.664536
5,1,1974592,1974592,31966.664773
5,2,2221416,2221416,31966.664536
5,3,1974592,1974592,31966.664773
5,4,1234120,1234120,31966.665483
5,5,493648,493648,31966.666193
5,6,1480944,1480944,31966.665246
5,7,493648,493648,31966.666193
5,8,1234120,1234120,31966.665483
5,9,1234120,1234120,31966.665483
5,10,740472,740472,31966.665957
5,11,740472,740472,31966.665957
5,12,493648,493648,31966.666193
5,13,493648,493648,31966.666193
5,14,740472,740472,31966.665957
5,15,493648,493648,31966.666193
