round,scope,value
0,global,0.486786809
0,inter_cluster,0.488578984
0,consensus,0.333866490
1,global,0.765310170
1,inter_cluster,0.767871015
1,consensus,0.528927568
2,global,0.878867857
2,inter_cluster,0.883807218
2,consensus,0.608646318
3,global,0.964031220
3,inter_cluster,0.969931401
3,consensus,0.666249830
4,global,1.051258474
4,inter_cluster,1.058317283
4,consensus,0.729328540
5,global,1.124648002
5,inter_cluster,1.131767821
5,consensus,0.776565654
6,global,1.198042222
6,inter_cluster,1.204704047
6,consensus,0.832913649
7,global,1.235323252
7,inter_cluster,1.237963676
7,consensus,0.856475712
8,global,1.213679748
8,inter_cluster,1.218582559
8,consensus,0.844434101
9,global,1.158585304
9,inter_cluster,1.163000018
9,consensus,0.804320414
10,global,1.153492831
10,inter_cluster,1.154673374
10,consensus,0.800033646
11,global,1.149809498
11,inter_cluster,1.150139538
11,consensus,0.796273994
12,global,1.086907137
12,inter_cluster,1.087063613
12,consensus,0.756785070
13,global,1.048275394
13,inter_cluster,1.046660355
13,consensus,0.728651280
14,global,1.087825020
14,inter_cluster,1.093375398
14,consensus,0.757717981
15,global,1.009016595
15,inter_cluster,1.004956713
15,consensus,0.700890154
16,global,0.986165364
16,inter_cluster,0.986385238
16,consensus,0.685584748
17,global,0.944352137
17,inter_cluster,0.944546280
17,consensus,0.656071034
18,global,0.897048125
18,inter_cluster,0.896768679
18,consensus,0.622979843
19,global,0.888617886
19,inter_cluster,0.887196911
19,consensus,0.613680562
20,global,0.964367367
20,inter_cluster,0.968631582
20,consensus,0.656585137
21,global,1.135961418
21,inter_cluster,1.136949995
21,consensus,0.767832846
22,global,1.068989474
22,inter_cluster,1.068587903
22,consensus,0.720933178
23,global,0.986886492
23,inter_cluster,0.985729695
23,consensus,0.672155040
24,global,1.029693310
24,inter_cluster,1.030327881
24,consensus,0.701704705
25,global,1.000590174
25,inter_cluster,0.994156928
25,consensus,0.683467249
26,global,1.013624145
26,inter_cluster,1.014215193
26,consensus,0.685934280
27,global,0.980969462
27,inter_cluster,0.980028172
27,consensus,0.668227460
28,global,1.009558791
28,inter_cluster,1.015822093
28,consensus,0.683863937
