round,node,idle_ticks,busy_ticks
0,0,848,72
0,1,847,73
0,2,823,97
0,3,865,55
0,4,831,89
0,5,827,93
0,6,831,89
0,7,832,88
0,8,810,110
0,9,876,44
0,10,855,65
0,11,853,67
0,12,844,76
0,13,864,56
0,14,828,92
0,15,498,422
0,16,319,601
0,17,160,760
0,18,417,503
0,19,652,268
0,20,335,585
0,21,415,505
0,22,161,759
0,23,17,903
0,24,126,794
0,25,195,725
0,26,409,511
0,27,345,575
0,28,128,792
0,29,176,744
1,0,848,72
1,1,847,73
1,2,823,97
1,3,865,55
1,4,831,89
1,5,827,93
1,6,831,89
1,7,832,88
1,8,810,110
1,9,876,44
1,10,855,65
1,11,853,67
1,12,844,76
1,13,864,56
1,14,828,92
1,15,498,422
1,16,319,601
1,17,160,760
1,18,417,503
1,19,652,268
1,20,335,585
1,21,414,506
1,22,161,759
1,23,17,903
1,24,121,799
1,25,195,725
1,26,409,511
1,27,345,575
1,28,128,792
1,29,176,744
2,0,848,72
2,1,847,73
2,2,823,97
2,3,865,55
2,4,831,89
2,5,827,93
2,6,831,89
2,7,832,88
2,8,810,110
2,9,876,44
2,10,855,65
2,11,853,67
2,12,844,76
2,13,864,56
2,14,828,92
2,15,498,422
2,16,319,601
2,17,160,760
2,18,417,503
2,19,652,268
2,20,335,585
2,21,415,505
2,22,161,759
2,23,17,903
2,24,126,794
2,25,195,725
2,26,409,511
2,27,345,575
2,28,128,792
2,29,176,744
3,0,848,72
3,1,847,73
3,2,823,97
3,3,865,55
3,4,831,89
3,5,827,93
3,6,831,89
3,7,832,88
3,8,810,110
3,9,876,44
3,10,855,65
3,11,853,67
3,12,844,76
3,13,864,56
3,14,828,92
3,15,498,422
3,16,319,601
3,17,160,760
3,18,417,503
3,19,652,268
3,20,335,585
3,21,414,506
3,22,161,759
3,23,17,903
3,24,121,799
3,25,195,725
3,26,409,511
3,27,345,575
3,28,128,792
3,29,176,744
4,0,848,72
4,1,847,73
4,2,823,97
4,3,865,55
4,4,831,89
4,5,827,93
4,6,831,89
4,7,832,88
4,8,810,110
4,9,876,44
4,10,855,65
4,11,853,67
4,12,844,76
4,13,864,56
4,14,828,92
4,15,498,422
4,16,319,601
4,17,160,760
4,18,417,503
4,19,652,268
4,20,335,585
4,21,414,506
4,22,161,759
4,23,17,903
4,24,121,799
4,25,195,725
4,26,409,511
4,27,345,575
4,28,128,792
4,29,176,744
5,0,848,72
5,1,847,73
5,2,823,97
5,3,865,55
5,4,831,89
5,5,827,93
5,6,831,89
5,7,832,88
5,8,810,110
5,9,876,44
5,10,855,65
5,11,853,67
5,12,844,76
5,13,864,56
5,14,828,92
5,15,498,422
5,16,319,601
5,17,160,760
5,18,417,503
5,19,652,268
5,20,335,585
5,21,415,505
5,22,161,759
5,23,17,903
5,24,126,794
5,25,195,725
5,26,409,511
5,27,345,575
5,28,128,792
5,29,176,744
6,0,848,72
6,1,847,73
6,2,823,97
6,3,865,55
6,4,831,89
6,5,827,93
6,6,831,89
6,7,832,88
6,8,810,110
6,9,876,44
6,10,855,65
6,11,853,67
6,12,844,76
6,13,864,56
6,14,828,92
6,15,498,422
6,16,319,601
6,17,160,760
6,18,417,503
6,19,652,268
6,20,335,585
6,21,414,506
6,22,161,759
6,23,17,903
6,24,121,799
6,25,195,725
6,26,409,511
6,27,345,575
6,28,128,792
6,29,176,744
7,0,848,72
7,1,847,73
7,2,823,97
7,3,865,55
7,4,831,89
7,5,827,93
7,6,831,89
7,7,832,88
7,8,810,110
7,9,876,44
7,10,855,65
7,11,853,67
7,12,844,76
7,13,864,56
7,14,828,92
7,15,498,422
7,16,319,601
7,17,160,760
7,18,417,503
7,19,652,268
7,20,335,585
7,21,414,506
7,22,161,759
7,23,17,903
7,24,121,799
7,25,195,725
7,26,409,511
7,27,345,575
7,28,128,792
7,29,176,744
8,0,848,72
8,1,847,73
8,2,823,97
8,3,865,55
8,4,831,89
8,5,827,93
8,6,831,89
8,7,832,88
8,8,810,110
8,9,876,44
8,10,855,65
8,11,853,67
8,12,844,76
8,13,864,56
8,14,828,92
8,15,498,422
8,16,319,601
8,17,160,760
8,18,417,503
8,19,652,268
8,20,335,585
8,21,414,506
8,22,161,759
8,23,17,903
8,24,121,799
8,25,195,725
8,26,409,511
8,27,345,575
8,28,128,792
8,29,176,744
9,0,848,72
9,1,847,73
9,2,823,97
9,3,865,55
9,4,831,89
9,5,827,93
9,6,831,89
9,7,832,88
9,8,810,110
9,9,876,44
9,10,855,65
9,11,853,67
9,12,844,76
9,13,864,56
9,14,828,92
9,15,498,422
9,16,319,601
9,17,160,760
9,18,417,503
9,19,652,268
9,20,335,585
9,21,415,505
9,22,161,759
9,23,17,903
9,24,126,794
9,25,195,725
9,26,409,511
9,27,345,575
9,28,128,792
9,29,176,744
10,0,848,72
10,1,847,73
10,2,823,97
10,3,865,55
10,4,831,89
10,5,827,93
10,6,831,89
10,7,832,88
10,8,810,110
10,9,876,44
10,10,855,65
10,11,853,67
10,12,844,76
10,13,864,56
10,14,828,92
10,15,498,422
10,16,319,601
10,17,160,760
10,18,417,503
10,19,652,268
10,20,335,585
10,21,414,506
10,22,161,759
10,23,17,903
10,24,121,799
10,25,195,725
10,26,409,511
10,27,345,575
10,28,128,792
10,29,176,744
11,0,848,72
11,1,847,73
11,2,823,97
11,3,865,55
11,4,831,89
11,5,827,93
11,6,831,89
11,7,832,88
11,8,810,110
11,9,876,44
11,10,855,65
11,11,853,67
11,12,844,76
11,13,864,56
11,14,828,92
11,15,498,422
11,16,319,601
11,17,160,760
11,18,417,503
11,19,652,268
11,20,335,585
11,21,415,505
11,22,161,759
11,23,17,903
11,24,126,794
11,25,195,725
11,26,409,511
11,27,345,575
11,28,128,792
11,29,176,744
12,0,848,72
12,1,847,73
12,2,823,97
12,3,865,55
12,4,831,89
12,5,827,93
12,6,831,89
12,7,832,88
12,8,810,110
12,9,876,44
12,10,855,65
12,11,853,67
12,12,844,76
12,13,864,56
12,14,828,92
12,15,498,422
12,16,319,601
12,17,160,760
12,18,417,503
12,19,652,268
12,20,335,585
12,21,414,506
12,22,161,759
12,23,17,903
12,24,121,799
12,25,195,725
12,26,409,511
12,27,345,575
12,28,128,792
12,29,176,744
13,0,848,72
13,1,847,73
13,2,823,97
13,3,865,55
13,4,831,89
13,5,827,93
13,6,831,89
13,7,832,88
13,8,810,110
13,9,876,44
13,10,855,65
13,11,853,67
13,12,844,76
13,13,864,56
13,14,828,92
13,15,498,422
13,16,319,601
13,17,160,760
13,18,417,503
13,19,652,268
13,20,335,585
13,21,414,506
13,22,161,759
13,23,17,903
13,24,121,799
13,25,195,725
13,26,409,511
13,27,345,575
13,28,128,792
13,29,176,744
14,0,848,72
14,1,847,73
14,2,823,97
14,3,865,55
14,4,831,89
14,5,827,93
14,6,831,89
14,7,832,88
14,8,810,110
14,9,876,44
14,10,855,65
14,11,853,67
14,12,844,76
14,13,864,56
14,14,828,92
14,15,498,422
14,16,319,601
14,17,160,760
14,18,417,503
14,19,652,268
14,20,335,585
14,21,414,506
14,22,161,759
14,23,17,903
14,24,121,799
14,25,195,725
14,26,409,511
14,27,345,575
14,28,128,792
14,29,176,744
15,0,848,72
15,1,847,73
15,2,823,97
15,3,865,55
15,4,831,89
15,5,827,93
15,6,831,89
15,7,832,88
15,8,810,110
15,9,876,44
15,10,855,65
15,11,853,67
15,12,844,76
15,13,864,56
15,14,828,92
15,15,498,422
15,16,319,601
15,17,160,760
15,18,417,503
15,19,652,268
15,20,335,585
15,21,414,506
15,22,161,759
15,23,17,903
15,24,121,799
15,25,195,725
15,26,409,511
15,27,345,575
15,28,128,792
15,29,176,744
16,0,848,72
16,1,847,73
16,2,823,97
16,3,865,55
16,4,831,89
16,5,827,93
16,6,831,89
16,7,832,88
16,8,810,110
16,9,876,44
16,10,855,65
16,11,853,67
16,12,844,76
16,13,864,56
16,14,828,92
16,15,498,422
16,16,319,601
16,17,160,760
16,18,417,503
16,19,652,268
16,20,335,585
16,21,415,505
16,22,161,759
16,23,17,903
16,24,126,794
16,25,195,725
16,26,409,511
16,27,345,575
16,28,128,792
16,29,176,744
17,0,848,72
17,1,847,73
17,2,823,97
17,3,865,55
17,4,831,89
17,5,827,93
17,6,831,89
17,7,832,88
17,8,810,110
17,9,876,44
17,10,855,65
17,11,853,67
17,12,844,76
17,13,864,56
17,14,828,92
17,15,498,422
17,16,319,601
17,17,160,760
17,18,417,503
17,19,652,268
17,20,335,585
17,21,414,506
17,22,161,759
17,23,17,903
17,24,121,799
17,25,195,725
17,26,409,511
17,27,345,575
17,28,128,792
17,29,176,744
18,0,848,72
18,1,847,73
18,2,823,97
18,3,865,55
18,4,831,89
18,5,827,93
18,6,831,89
18,7,832,88
18,8,810,110
18,9,876,44
18,10,855,65
18,11,853,67
18,12,844,76
18,13,864,56
18,14,828,92
18,15,498,422
18,16,319,601
18,17,160,760
18,18,417,503
18,19,652,268
18,20,335,585
18,21,414,506
18,22,161,759
18,23,17,903
18,24,121,799
18,25,195,725
18,26,409,511
18,27,345,575
18,28,128,792
18,29,176,744
19,0,848,72
19,1,847,73
19,2,823,97
19,3,865,55
19,4,831,89
19,5,827,93
19,6,831,89
19,7,832,88
19,8,810,110
19,9,876,44
19,10,855,65
19,11,853,67
19,12,844,76
19,13,864,56
19,14,828,92
19,15,498,422
19,16,319,601
19,17,160,760
19,18,417,503
19,19,652,268
19,20,335,585
19,21,415,505
19,22,161,759
19,23,17,903
19,24,126,794
19,25,195,725
19,26,409,511
19,27,345,575
19,28,128,792
19,29,176,744
20,0,848,72
20,1,847,73
20,2,823,97
20,3,865,55
20,4,831,89
20,5,827,93
20,6,831,89
20,7,832,88
20,8,810,110
20,9,876,44
20,10,855,65
20,11,853,67
20,12,844,76
20,13,864,56
20,14,828,92
20,15,498,422
20,16,319,601
20,17,160,760
20,18,417,503
20,19,652,268
20,20,335,585
20,21,415,505
20,22,161,759
20,23,17,903
20,24,126,794
20,25,195,725
20,26,409,511
20,27,345,575
20,28,128,792
20,29,176,744
21,0,848,72
21,1,847,73
21,2,823,97
21,3,865,55
21,4,831,89
21,5,827,93
21,6,831,89
21,7,832,88
21,8,810,110
21,9,876,44
21,10,855,65
21,11,853,67
21,12,844,76
21,13,864,56
21,14,828,92
21,15,498,422
21,16,319,601
21,17,160,760
21,18,417,503
21,19,652,268
21,20,335,585
21,21,414,506
21,22,161,759
21,23,17,903
21,24,121,799
21,25,195,725
21,26,409,511
21,27,345,575
21,28,128,792
21,29,176,744
22,0,848,72
22,1,847,73
22,2,823,97
22,3,865,55
22,4,831,89
22,5,827,93
22,6,831,89
22,7,832,88
22,8,810,110
22,9,876,44
22,10,855,65
22,11,853,67
22,12,844,76
22,13,864,56
22,14,828,92
22,15,498,422
22,16,319,601
22,17,160,760
22,18,417,503
22,19,652,268
22,20,335,585
22,21,414,506
22,22,161,759
22,23,17,903
22,24,121,799
22,25,195,725
22,26,409,511
22,27,345,575
22,28,128,792
22,29,176,744
23,0,848,72
23,1,847,73
23,2,823,97
23,3,865,55
23,4,831,89
23,5,827,93
23,6,831,89
23,7,832,88
23,8,810,110
23,9,876,44
23,10,855,65
23,11,853,67
23,12,844,76
23,13,864,56
23,14,828,92
23,15,498,422
23,16,319,601
23,17,160,760
23,18,417,503
23,19,652,268
23,20,335,585
23,21,414,506
23,22,161,759
23,23,17,903
23,24,121,799
23,25,195,725
23,26,409,511
23,27,345,575
23,28,128,792
23,29,176,744
24,0,848,72
24,1,847,73
24,2,823,97
24,3,865,55
24,4,831,89
24,5,827,93
24,6,831,89
24,7,832,88
24,8,810,110
24,9,876,44
24,10,855,65
24,11,853,67
24,12,844,76
24,13,864,56
24,14,828,92
24,15,498,422
24,16,319,601
24,17,160,760
24,18,417,503
24,19,652,268
24,20,335,585
24,21,415,505
24,22,161,759
24,23,17,903
24,24,126,794
24,25,195,725
24,26,409,511
24,27,345,575
24,28,128,792
24,29,176,744
25,0,848,72
25,1,847,73
25,2,823,97
25,3,865,55
25,4,831,89
25,5,827,93
25,6,831,89
25,7,832,88
25,8,810,110
25,9,876,44
25,10,855,65
25,11,853,67
25,12,844,76
25,13,864,56
25,14,828,92
25,15,498,422
25,16,319,601
25,17,160,760
25,18,417,503
25,19,652,268
25,20,335,585
25,21,415,505
25,22,161,759
25,23,17,903
25,24,126,794
25,25,195,725
25,26,409,511
25,27,345,575
25,28,128,792
25,29,176,744
26,0,848,72
26,1,847,73
26,2,823,97
26,3,865,55
26,4,831,89
26,5,827,93
26,6,831,89
26,7,832,88
26,8,810,110
26,9,876,44
26,10,855,65
26,11,853,67
26,12,844,76
26,13,864,56
26,14,828,92
26,15,498,422
26,16,319,601
26,17,160,760
26,18,417,503
26,19,652,268
26,20,335,585
26,21,415,505
26,22,161,759
26,23,17,903
26,24,126,794
26,25,195,725
26,26,409,511
26,27,345,575
26,28,128,792
26,29,176,744
27,0,848,72
27,1,847,73
27,2,823,97
27,3,865,55
27,4,831,89
27,5,827,93
27,6,831,89
27,7,832,88
27,8,810,110
27,9,876,44
27,10,855,65
27,11,853,67
27,12,844,76
27,13,864,56
27,14,828,92
27,15,498,422
27,16,319,601
27,17,160,760
27,18,417,503
27,19,652,268
27,20,335,585
27,21,414,506
27,22,161,759
27,23,17,903
27,24,121,799
27,25,195,725
27,26,409,511
27,27,345,575
27,28,128,792
27,29,176,744
28,0,848,72
28,1,847,73
28,2,823,97
28,3,865,55
28,4,831,89
28,5,827,93
28,6,831,89
28,7,832,88
28,8,810,110
28,9,876,44
28,10,855,65
28,11,853,67
28,12,844,76
28,13,864,56
28,14,828,92
28,15,498,422
28,16,319,601
28,17,160,760
28,18,417,503
28,19,652,268
28,20,335,585
28,21,414,506
28,22,161,759
28,23,17,903
28,24,121,799
28,25,195,725
28,26,409,511
28,27,345,575
28,28,128,792
28,29,176,744
29,0,848,72
29,1,847,73
29,2,823,97
29,3,865,55
29,4,831,89
29,5,827,93
29,6,831,89
29,7,832,88
29,8,810,110
29,9,876,44
29,10,855,65
29,11,853,67
29,12,844,76
29,13,864,56
29,14,828,92
29,15,498,422
29,16,319,601
29,17,160,760
29,18,417,503
29,19,652,268
29,20,335,585
29,21,415,505
29,22,161,759
29,23,17,903
29,24,126,794
29,25,195,725
29,26,409,511
29,27,345,575
29,28,128,792
29,29,176,744
30,0,848,72
30,1,847,73
30,2,823,97
30,3,865,55
30,4,831,89
30,5,827,93
30,6,831,89
30,7,832,88
30,8,810,110
30,9,876,44
30,10,855,65
30,11,853,67
30,12,844,76
30,13,864,56
30,14,828,92
30,15,498,422
30,16,319,601
30,17,160,760
30,18,417,503
30,19,652,268
30,20,335,585
30,21,414,506
30,22,161,759
30,23,17,903
30,24,121,799
30,25,195,725
30,26,409,511
30,27,345,575
30,28,128,792
30,29,176,744
31,0,848,72
31,1,847,73
31,2,823,97
31,3,865,55
31,4,831,89
31,5,827,93
31,6,831,89
31,7,832,88
31,8,810,110
31,9,876,44
31,10,855,65
31,11,853,67
31,12,844,76
31,13,864,56
31,14,828,92
31,15,498,422
31,16,319,601
31,17,160,760
31,18,417,503
31,19,652,268
31,20,335,585
31,21,414,506
31,22,161,759
31,23,17,903
31,24,121,799
31,25,195,725
31,26,409,511
31,27,345,575
31,28,128,792
31,29,176,744
32,0,848,72
32,1,847,73
32,2,823,97
32,3,865,55
32,4,831,89
32,5,827,93
32,6,831,89
32,7,832,88
32,8,810,110
32,9,876,44
32,10,855,65
32,11,853,67
32,12,844,76
32,13,864,56
32,14,828,92
32,15,498,422
32,16,319,601
32,17,160,760
32,18,417,503
32,19,652,268
32,20,335,585
32,21,415,505
32,22,161,759
32,23,17,903
32,24,126,794
32,25,195,725
32,26,409,511
32,27,345,575
32,28,128,792
32,29,176,744
33,0,848,72
33,1,852,68
33,2,823,97
33,3,865,55
33,4,831,89
33,5,827,93
33,6,831,89
33,7,832,88
33,8,810,110
33,9,876,44
33,10,855,65
33,11,853,67
33,12,844,76
33,13,864,56
33,14,828,92
33,15,498,422
33,16,319,601
33,17,160,760
33,18,417,503
33,19,652,268
33,20,335,585
33,21,414,506
33,22,161,759
33,23,17,903
33,24,121,799
33,25,195,725
33,26,409,511
33,27,345,575
33,28,128,792
33,29,176,744
34,0,848,72
34,1,847,73
34,2,823,97
34,3,865,55
34,4,831,89
34,5,827,93
34,6,831,89
34,7,832,88
34,8,810,110
34,9,876,44
34,10,855,65
34,11,853,67
34,12,844,76
34,13,864,56
34,14,828,92
34,15,498,422
34,16,319,601
34,17,160,760
34,18,417,503
34,19,652,268
34,20,335,585
34,21,414,506
34,22,161,759
34,23,17,903
34,24,121,799
34,25,195,725
34,26,409,511
34,27,345,575
34,28,128,792
34,29,176,744
35,0,848,72
35,1,847,73
35,2,823,97
35,3,865,55
