round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,2;8,2221416,2221416,48,19,1258,1210
0,1,0;2,1480944,1480944,62,22,1258,1196
0,2,0;10,1480944,1480944,94,69,1258,1164
0,3,0;5,1727768,1727768,88,54,1258,1170
0,4,3;6,1480944,1480944,74,38,1258,1184
0,5,3;6,493648,493648,54,44,1258,1204
0,6,4;5,1234120,1234120,69,31,1258,1189
0,7,2;4,1480944,1480944,90,49,1258,1168
0,8,0;1,740472,740472,50,30,1258,1208
0,9,0;10,493648,493648,94,82,1258,1164
0,10,2;9,987296,987296,55,28,1258,1203
0,11,0;7,1234120,1234120,121,87,1258,1137
0,12,0;4,740472,740472,97,68,1258,1161
0,13,0;4,1727768,1727768,76,43,1258,1182
0,14,1;13,493648,493648,86,74,1258,1172
0,15,3;13,493648,493648,642,620,1258,616
0,16,11;12,493648,493648,1204,1173,1258,54
0,17,3;7,740472,740472,716,681,1258,542
0,18,4;7,493648,493648,649,613,1258,609
0,19,7;25,493648,493648,397,352,1258,861
0,20,3;6,493648,493648,727,692,1258,531
0,21,2;13,493648,493648,473,446,1258,785
0,22,3;10,493648,493648,775,753,1258,483
0,23,1;6,493648,493648,301,261,1258,957
0,24,0;6,493648,493648,848,819,1258,410
0,25,13;19,493648,493648,453,408,1258,805
0,26,10;11,493648,493648,409,380,1258,849
0,27,11;13,493648,493648,431,397,1258,827
0,28,2;8,493648,493648,640,620,1258,618
0,29,1;17,493648,493648,1248,1213,1258,10
1,0,1;13,1974592,1974592,48,19,1258,1210
1,1,4;14,1974592,1974592,62,22,1258,1196
1,2,0;7,1234120,1234120,94,69,1258,1164
1,3,1;4,1480944,1480944,88,54,1258,1170
1,4,7;13,1727768,1727768,74,38,1258,1184
1,5,1;6,493648,493648,57,44,1258,1201
1,6,4;9,1480944,1480944,69,31,1258,1189
1,7,4;11,1480944,1480944,90,49,1258,1168
1,8,0;1,740472,740472,50,30,1258,1208
1,9,0;6,740472,740472,94,82,1258,1164
1,10,2;9,987296,987296,55,28,1258,1203
1,11,0;7,1234120,1234120,121,87,1258,1137
1,12,0;4,740472,740472,97,68,1258,1161
1,13,0;14,1727768,1727768,76,43,1258,1182
1,14,1;13,493648,493648,86,74,1258,1172
1,15,3;13,493648,493648,642,620,1258,616
1,16,11;12,493648,493648,1204,1173,1258,54
1,17,3;7,740472,740472,716,681,1258,542
1,18,4;7,493648,493648,649,613,1258,609
1,19,7;25,493648,493648,397,352,1258,861
1,20,3;6,493648,493648,727,692,1258,531
1,21,2;13,493648,493648,473,446,1258,785
1,22,3;10,493648,493648,775,753,1258,483
1,23,1;6,493648,493648,301,261,1258,957
1,24,0;6,493648,493648,848,819,1258,410
1,25,13;19,493648,493648,453,408,1258,805
1,26,10;11,493648,493648,409,380,1258,849
1,27,11;13,493648,493648,431,397,1258,827
1,28,2;8,493648,493648,640,620,1258,618
1,29,1;17,493648,493648,1248,1213,1258,10
2,0,2;12,1974592,1974592,48,19,1258,1210
2,1,2;14,1480944,1480944,62,22,1258,1196
2,2,7;10,1480944,1480944,94,69,1258,1164
2,3,0;5,1480944,1480944,88,54,1258,1170
2,4,12;13,987296,987296,74,38,1258,1184
2,5,1;6,740472,740472,57,44,1258,1201
2,6,4;5,1234120,1234120,69,31,1258,1189
2,7,2;11,1234120,1234120,90,49,1258,1168
2,8,0;1,740472,740472,50,30,1258,1208
2,9,0;10,493648,493648,94,82,1258,1164
2,10,2;9,987296,987296,55,28,1258,1203
2,11,0;7,1234120,1234120,121,87,1258,1137
2,12,0;4,740472,740472,97,68,1258,1161
2,13,0;14,1727768,1727768,76,43,1258,1182
2,14,1;13,493648,493648,86,74,1258,1172
2,15,3;13,493648,493648,642,620,1258,616
2,16,11;12,493648,493648,1204,1173,1258,54
2,17,3;7,740472,740472,716,681,1258,542
2,18,4;7,493648,493648,649,613,1258,609
2,19,7;25,493648,493648,397,352,1258,861
2,20,3;6,493648,493648,727,692,1258,531
2,21,2;13,493648,493648,473,446,1258,785
2,22,3;10,493648,493648,775,753,1258,483
2,23,1;6,493648,493648,301,261,1258,957
2,24,0;6,493648,493648,848,819,1258,410
2,25,13;19,493648,493648,453,408,1258,805
2,26,10;11,493648,493648,409,380,1258,849
2,27,11;13,493648,493648,431,397,1258,827
2,28,2;8,493648,493648,640,620,1258,618
2,29,1;17,493648,493648,1248,1213,1258,10
3,0,8;13,1974592,1974592,48,19,1258,1210
3,1,0;4,1480944,1480944,62,22,1258,1196
3,2,0;7,1234120,1234120,94,69,1258,1164
3,3,4;5,1480944,1480944,88,54,1258,1170
3,4,6;13,1480944,1480944,74,38,1258,1184
3,5,3;6,493648,493648,54,44,1258,1204
3,6,4;9,1480944,1480944,69,31,1258,1189
3,7,2;11,1234120,1234120,90,49,1258,1168
3,8,0;1,740472,740472,50,30,1258,1208
3,9,0;6,740472,740472,94,82,1258,1164
3,10,2;9,987296,987296,55,28,1258,1203
3,11,0;7,1234120,1234120,121,87,1258,1137
3,12,0;4,740472,740472,97,68,1258,1161
3,13,4;14,1727768,1727768,76,43,1258,1182
3,14,1;13,493648,493648,86,74,1258,1172
3,15,3;13,493648,493648,642,620,1258,616
3,16,11;12,493648,493648,1204,1173,1258,54
3,17,3;7,740472,740472,716,681,1258,542
3,18,4;7,493648,493648,649,613,1258,609
3,19,7;25,493648,493648,397,352,1258,861
3,20,3;6,493648,493648,727,692,1258,531
3,21,2;13,493648,493648,473,446,1258,785
3,22,3;10,493648,493648,775,753,1258,483
3,23,1;6,493648,493648,301,261,1258,957
3,24,0;6,493648,493648,848,819,1258,410
3,25,13;19,493648,493648,453,408,1258,805
3,26,10;11,493648,493648,409,380,1258,849
3,27,11;13,493648,493648,431,397,1258,827
3,28,2;8,493648,493648,640,620,1258,618
3,29,1;17,493648,493648,1248,1213,1258,10
4,0,3;11,1974592,1974592,48,19,1258,1210
4,1,3;14,1234120,1234120,62,22,1258,1196
4,2,0;7,1234120,1234120,94,69,1258,1164
4,3,0;1,1974592,1974592,88,54,1258,1170
4,4,3;7,1234120,1234120,74,38,1258,1184
4,5,3;6,493648,493648,54,44,1258,1204
4,6,4;5,1234120,1234120,69,31,1258,1189
4,7,2;4,1480944,1480944,90,49,1258,1168
4,8,0;1,740472,740472,50,30,1258,1208
4,9,0;10,493648,493648,94,82,1258,1164
4,10,2;9,987296,987296,55,28,1258,1203
4,11,0;7,1234120,1234120,121,87,1258,1137
4,12,0;4,740472,740472,97,68,1258,1161
4,13,0;14,1480944,1480944,76,43,1258,1182
4,14,1;13,493648,493648,86,74,1258,1172
4,15,3;13,493648,493648,642,620,1258,616
4,16,11;12,493648,493648,1204,1173,1258,54
4,17,3;7,740472,740472,716,681,1258,542
4,18,4;7,493648,493648,649,613,1258,609
4,19,7;25,493648,493648,397,352,1258,861
4,20,3;6,493648,493648,727,692,1258,531
4,21,2;13,493648,493648,473,446,1258,785
4,22,3;10,493648,493648,775,753,1258,483
4,23,1;6,493648,493648,301,261,1258,957
4,24,0;6,493648,493648,848,819,1258,410
4,25,13;19,493648,493648,453,408,1258,805
4,26,10;11,493648,493648,409,380,1258,849
4,27,11;13,493648,493648,431,397,1258,827
4,28,2;8,493648,493648,640,620,1258,618
4,29,1;17,493648,493648,1248,1213,1258,10
5,0,2;8,1727768,1727768,48,19,1258,1210
5,1,3;5,1974592,1974592,62,22,1258,1196
5,2,1;10,1480944,1480944,94,69,1258,1164
5,3,1;5,1480944,1480944,88,54,1258,1170
5,4,1;12,987296,987296,74,38,1258,1184
5,5,1;3,740472,740472,57,44,1258,1201
5,6,5;9,1234120,1234120,69,31,1258,1189
5,7,2;11,1234120,1234120,90,49,1258,1168
5,8,0;1,740472,740472,50,30,1258,1208
5,9,0;6,740472,740472,94,82,1258,1164
5,10,2;9,987296,987296,55,28,1258,1203
5,11,0;7,1234120,1234120,121,87,1258,1137
5,12,0;4,740472,740472,97,68,1258,1161
5,13,0;4,1727768,1727768,76,43,1258,1182
5,14,1;13,493648,493648,86,74,1258,1172
5,15,3;13,493648,493648,642,620,1258,616
5,16,11;12,493648,493648,1204,1173,1258,54
5,17,3;7,740472,740472,716,681,1258,542
5,18,4;7,493648,493648,649,613,1258,609
5,19,7;25,493648,493648,397,352,1258,861
5,20,3;6,493648,493648,727,692,1258,531
5,21,2;13,493648,493648,473,446,1258,785
5,22,3;10,493648,493648,775,753,1258,483
5,23,1;6,493648,493648,301,261,1258,957
5,24,0;6,493648,493648,848,819,1258,410
5,25,13;19,493648,493648,453,408,1258,805
5,26,10;11,493648,493648,409,380,1258,849
5,27,11;13,493648,493648,431,397,1258,827
5,28,2;8,493648,493648,640,620,1258,618
5,29,1;17,493648,493648,1248,1213,1258,10
6,0,3;13,1727768,1727768,48,19,1258,1210
6,1,2;14,1480944,1480944,62,22,1258,1196
6,2,0;7,1480944,1480944,94,69,1258,1164
6,3,0;4,1480944,1480944,88,54,1258,1170
6,4,3;13,1480944,1480944,74,38,1258,1184
6,5,1;6,493648,493648,57,44,1258,1201
6,6,4;5,1480944,1480944,69,31,1258,1189
6,7,4;11,1480944,1480944,90,49,1258,1168
6,8,0;1,740472,740472,50,30,1258,1208
6,9,6;10,493648,493648,93,82,1258,1165
6,10,2;9,987296,987296,55,28,1258,1203
6,11,0;7,1234120,1234120,121,87,1258,1137
6,12,0;4,740472,740472,97,68,1258,1161
6,13,0;14,1727768,1727768,76,43,1258,1182
6,14,1;13,493648,493648,86,74,1258,1172
6,15,3;13,493648,493648,642,620,1258,616
6,16,11;12,493648,493648,1204,1173,1258,54
6,17,3;7,740472,740472,716,681,1258,542
6,18,4;7,493648,493648,649,613,1258,609
6,19,7;25,493648,493648,397,352,1258,861
6,20,3;6,493648,493648,727,692,1258,531
6,21,2;13,493648,493648,473,446,1258,785
6,22,3;10,493648,493648,775,753,1258,483
6,23,1;6,493648,493648,301,261,1258,957
6,24,0;6,493648,493648,848,819,1258,410
6,25,13;19,493648,493648,453,408,1258,805
6,26,10;11,493648,493648,409,380,1258,849
6,27,11;13,493648,493648,431,397,1258,827
6,28,2;8,493648,493648,640,620,1258,618
6,29,1;17,493648,493648,1248,1213,1258,10
7,0,2;12,1974592,1974592,48,19,1258,1210
7,1,3;4,1480944,1480944,62,22,1258,1196
7,2,0;7,1234120,1234120,94,69,1258,1164
7,3,0;4,1974592,1974592,88,54,1258,1170
7,4,6;12,1727768,1727768,74,38,1258,1184
7,5,3;6,493648,493648,54,44,1258,1204
7,6,4;9,1480944,1480944,69,31,1258,1189
7,7,2;4,1480944,1480944,90,49,1258,1168
7,8,0;1,740472,740472,50,30,1258,1208
7,9,0;6,740472,740472,94,82,1258,1164
7,10,2;9,987296,987296,55,28,1258,1203
7,11,0;7,1234120,1234120,121,87,1258,1137
7,12,0;4,740472,740472,97,68,1258,1161
7,13,0;4,1727768,1727768,76,43,1258,1182
7,14,1;13,493648,493648,86,74,1258,1172
7,15,3;13,493648,493648,642,620,1258,616
7,16,11;12,493648,493648,1204,1173,1258,54
7,17,3;7,740472,740472,716,681,1258,542
