round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,902,23,37,0
1,902,22,37,0
2,902,22,37,0
3,902,22,37,0
4,902,22,37,0
5,902,23,37,0
6,902,22,37,0
7,902,23,37,0
8,902,22,37,0
9,902,23,37,0
10,902,22,37,0
11,902,22,37,0
12,902,23,37,0
13,902,22,37,0
14,902,22,37,0
15,902,22,37,0
16,902,22,37,0
17,902,22,37,0
18,902,21,37,0
19,902,22,37,0
20,902,22,37,0
21,902,22,37,0
22,902,22,37,0
23,902,22,37,0
24,902,22,37,0
25,902,22,37,0
26,902,22,37,0
27,902,22,37,0
28,902,22,37,0
29,902,22,37,0
30,902,22,37,0
31,902,22,37,0
32,902,22,37,0
33,902,22,37,0
34,902,22,37,0
35,902,23,37,0
36,902,22,37,0
37,902,22,37,0
38,902,22,37,0
39,902,22,37,0
40,902,23,37,0
41,902,22,37,0
42,902,23,37,0
43,902,22,37,0
44,902,22,37,0
45,902,22,37,0
46,902,22,37,0
47,902,23,37,0
48,902,23,37,0
49,902,23,37,0
50,902,22,37,0
51,902,23,37,0
52,902,22,37,0
53,902,22,37,0
54,902,22,37,0
55,902,22,37,0
56,902,22,37,0
57,902,22,37,0
58,902,22,37,0
59,902,23,37,0
60,902,23,37,0
61,902,22,37,0
62,902,22,37,0
63,902,22,37,0
64,902,22,37,0
65,902,23,37,0
66,902,22,37,0
67,902,23,37,0
68,902,22,37,0
69,902,22,37,0
70,902,22,37,0
71,902,22,37,0
72,902,22,37,0
73,902,22,37,0
74,902,22,37,0
75,902,23,37,0
76,902,23,37,0
77,902,22,37,0
78,902,22,37,0
79,902,22,37,0
80,902,22,37,0
81,902,22,37,0
82,902,23,37,0
83,902,22,37,0
84,902,22,37,0
85,902,22,37,0
86,902,22,37,0
87,902,22,37,0
88,902,22,37,0
89,902,23,37,0
90,902,23,37,0
91,902,23,37,0
92,902,22,37,0
93,902,23,37,0
94,902,22,37,0
95,902,22,37,0
96,902,22,37,0
97,902,22,37,0
98,902,22,37,0
99,902,23,37,0
