round,node,ul_bytes,dl_bytes,energy_mj
0,0,740472,740472,35299.999216
0,1,740472,740472,35299.999216
0,2,493648,493648,35299.999477
0,3,740472,740472,35299.999216
0,4,740472,740472,35299.999216
0,5,493648,493648,35299.999477
1,0,740472,740472,35483.332545
1,1,740472,740472,35483.332545
1,2,493648,493648,35483.332808
1,3,740472,740472,35483.332545
1,4,740472,740472,35483.332545
1,5,493648,493648,35483.332808
2,0,740472,740472,35383.332547
2,1,740472,740472,35383.332547
2,2,493648,493648,35383.332809
2,3,740472,740472,35383.332547
2,4,740472,740472,35383.332547
2,5,493648,493648,35383.332809
3,0,740472,740472,35116.665887
3,1,740472,740472,35116.665887
3,2,493648,493648,35116.666147
3,3,740472,740472,35116.665887
3,4,740472,740472,35116.665887
3,5,493648,493648,35116.666147
4,0,740472,740472,35499.999211
4,1,740472,740472,35499.999211
4,2,493648,493648,35499.999474
4,3,740472,740472,35499.999211
4,4,740472,740472,35499.999211
4,5,493648,493648,35499.999474
5,0,740472,740472,35349.999215
5,1,740472,740472,35349.999215
5,2,493648,493648,35349.999476
5,3,740472,740472,35349.999215
5,4,740472,740472,35349.999215
5,5,493648,493648,35349.999476
6,0,740472,740472,35516.665878
6,1,740472,740472,35516.665878
6,2,493648,493648,35516.666141
6,3,493648,493648,35516.666141
6,4,493648,493648,35516.666141
6,5,493648,493648,35516.666141
7,0,740472,740472,35149.999219
7,1,740472,740472,35149.999219
7,2,493648,493648,35149.999479
7,3,740472,740472,35149.999219
7,4,740472,740472,35149.999219
7,5,493648,493648,35149.999479
8,0,740472,740472,35399.999214
8,1,740472,740472,35399.999214
8,2,493648,493648,35399.999476
8,3,740472,740472,35399.999214
8,4,740472,740472,35399.999214
8,5,493648,493648,35399.999476
9,0,740472,740472,35533.332544
9,1,740472,740472,35533.332544
9,2,493648,493648,35533.332807
9,3,740472,740472,35533.332544
9,4,740472,740472,35533.332544
9,5,493648,493648,35533.332807
10,0,740472,740472,35183.332552
10,1,740472,740472,35183.332552
10,2,493648,493648,35183.332812
10,3,740472,740472,35183.332552
10,4,740472,740472,35183.332552
10,5,493648,493648,35183.332812
11,0,740472,740472,35249.999217
11,1,740472,740472,35249.999217
11,2,493648,493648,35249.999478
11,3,740472,740472,35249.999217
11,4,740472,740472,35249.999217
11,5,493648,493648,35249.999478
12,0,740472,740472,35299.999216
12,1,740472,740472,35299.999216
12,2,493648,493648,35299.999477
12,3,740472,740472,35299.999216
12,4,740472,740472,35299.999216
12,5,493648,493648,35299.999477
13,0,740472,740472,35299.999216
13,1,740472,740472,35299.999216
13,2,493648,493648,35299.999477
13,3,740472,740472,35299.999216
13,4,740472,740472,35299.999216
13,5,493648,493648,35299.999477
14,0,740472,740472,35699.999207
14,1,740472,740472,35699.999207
14,2,493648,493648,35699.999471
14,3,740472,740472,35699.999207
14,4,740472,740472,35699.999207
14,5,493648,493648,35699.999471
15,0,740472,740472,36016.665867
15,1,740472,740472,36016.665867
15,2,493648,493648,36016.666133
15,3,740472,740472,36016.665867
15,4,740472,740472,36016.665867
15,5,493648,493648,36016.666133
16,0,740472,740472,35383.332547
16,1,740472,740472,35383.332547
16,2,493648,493648,35383.332809
16,3,740472,740472,35383.332547
16,4,740472,740472,35383.332547
16,5,493648,493648,35383.332809
17,0,740472,740472,36566.665854
17,1,740472,740472,36566.665854
17,2,493648,493648,36566.666125
17,3,740472,740472,36566.665854
17,4,740472,740472,36566.665854
17,5,493648,493648,36566.666125
18,0,740472,740472,35649.999208
18,1,740472,740472,35649.999208
18,2,493648,493648,35649.999472
18,3,740472,740472,35649.999208
18,4,740472,740472,35649.999208
18,5,493648,493648,35649.999472
19,0,740472,740472,35149.999219
19,1,740472,740472,35149.999219
19,2,493648,493648,35149.999479
19,3,740472,740472,35149.999219
19,4,740472,740472,35149.999219
19,5,493648,493648,35149.999479
