round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,1;2,740472,740472,567,539,1118,551
0,1,0;2,740472,740472,314,293,1118,804
0,2,0;1,493648,493648,590,579,1118,528
0,3,0;4,740472,740472,421,385,1118,697
0,4,1;5,740472,740472,1112,1082,1118,6
0,5,3;4,493648,493648,683,647,1118,435
1,0,1;2,740472,740472,574,546,1129,555
1,1,0;2,740472,740472,319,298,1129,810
1,2,0;1,493648,493648,622,611,1129,507
1,3,0;4,740472,740472,467,431,1129,662
1,4,1;5,740472,740472,1123,1093,1129,6
1,5,3;4,493648,493648,680,644,1129,449
2,0,1;2,740472,740472,556,528,1123,567
2,1,0;2,740472,740472,311,290,1123,812
2,2,0;1,493648,493648,577,566,1123,546
2,3,0;4,740472,740472,422,386,1123,701
2,4,1;3,740472,740472,1117,1087,1123,6
2,5,3;4,493648,493648,677,641,1123,446
3,0,1;2,740472,740472,567,539,1107,540
3,1,0;2,740472,740472,311,290,1107,796
3,2,0;1,493648,493648,582,571,1107,525
3,3,0;4,740472,740472,419,383,1107,688
3,4,1;5,740472,740472,1101,1071,1107,6
3,5,3;4,493648,493648,674,638,1107,433
4,0,1;2,740472,740472,561,533,1130,569
4,1,0;2,740472,740472,323,302,1130,807
4,2,0;1,493648,493648,592,581,1130,538
4,3,0;4,740472,740472,423,387,1130,707
4,4,1;5,740472,740472,1124,1094,1130,6
4,5,3;4,493648,493648,756,720,1130,374
5,0,1;2,740472,740472,589,561,1121,532
5,1,0;2,740472,740472,318,297,1121,803
5,2,0;1,493648,493648,578,567,1121,543
5,3,0;4,740472,740472,434,398,1121,687
5,4,1;3,740472,740472,1115,1085,1121,6
5,5,3;4,493648,493648,693,657,1121,428
6,0,1;2,740472,740472,567,539,1131,564
6,1,0;2,740472,740472,315,294,1131,816
6,2,0;1,493648,493648,594,583,1131,537
6,3,0;5,493648,493648,422,386,1131,709
6,4,1;5,493648,493648,1125,1095,1131,6
6,5,3;4,493648,493648,684,648,1131,447
7,0,1;2,740472,740472,568,540,1109,541
7,1,0;2,740472,740472,313,292,1109,796
7,2,0;1,493648,493648,587,576,1109,522
7,3,0;4,740472,740472,416,380,1109,693
7,4,1;5,740472,740472,1103,1073,1109,6
7,5,3;4,493648,493648,683,647,1109,426
8,0,1;2,740472,740472,564,536,1124,560
8,1,0;2,740472,740472,315,294,1124,809
8,2,0;1,493648,493648,594,583,1124,530
8,3,0;4,740472,740472,429,393,1124,695
8,4,1;5,740472,740472,1118,1088,1124,6
8,5,3;4,493648,493648,694,658,1124,430
9,0,1;2,740472,740472,575,547,1132,557
9,1,0;2,740472,740472,312,291,1132,820
9,2,0;1,493648,493648,581,570,1132,551
9,3,0;4,740472,740472,419,383,1132,713
9,4,1;5,740472,740472,1126,1096,1132,6
9,5,3;4,493648,493648,679,643,1132,453
10,0,1;2,740472,740472,564,536,1111,547
10,1,0;2,740472,740472,317,296,1111,794
10,2,0;1,493648,493648,586,575,1111,525
10,3,0;4,740472,740472,427,391,1111,684
10,4,1;5,740472,740472,1105,1075,1111,6
10,5,3;4,493648,493648,678,642,1111,433
11,0,1;2,740472,740472,562,534,1115,553
11,1,0;2,740472,740472,316,295,1115,799
11,2,0;1,493648,493648,581,570,1115,534
11,3,0;4,740472,740472,417,381,1115,698
11,4,1;5,740472,740472,1109,1079,1115,6
11,5,3;4,493648,493648,681,645,1115,434
12,0,1;2,740472,740472,565,537,1118,553
12,1,0;2,740472,740472,324,303,1118,794
12,2,0;1,493648,493648,594,583,1118,524
12,3,0;4,740472,740472,429,393,1118,689
12,4,1;5,740472,740472,1112,1082,1118,6
12,5,3;4,493648,493648,678,642,1118,440
13,0,1;2,740472,740472,559,531,1118,559
13,1,0;2,740472,740472,313,292,1118,805
13,2,0;1,493648,493648,583,572,1118,535
13,3,0;4,740472,740472,421,385,1118,697
13,4,1;5,740472,740472,1112,1082,1118,6
13,5,3;4,493648,493648,687,651,1118,431
14,0,1;2,740472,740472,573,545,1142,569
14,1,0;2,740472,740472,376,355,1142,766
14,2,0;1,493648,493648,614,603,1142,528
14,3,0;4,740472,740472,439,403,1142,703
14,4,1;5,740472,740472,1136,1106,1142,6
14,5,3;4,493648,493648,693,657,1142,449
15,0,1;2,740472,740472,590,562,1161,571
15,1,0;2,740472,740472,327,306,1161,834
15,2,0;1,493648,493648,625,614,1161,536
15,3,0;4,740472,740472,435,399,1161,726
15,4,1;5,740472,740472,1155,1125,1161,6
15,5,3;4,493648,493648,698,662,1161,463
16,0,1;2,740472,740472,569,541,1123,554
16,1,0;2,740472,740472,318,297,1123,805
16,2,0;1,493648,493648,587,576,1123,536
16,3,0;4,740472,740472,420,384,1123,703
16,4,1;5,740472,740472,1117,1087,1123,6
16,5,3;4,493648,493648,680,644,1123,443
17,0,1;2,740472,740472,564,536,1194,630
17,1,0;2,740472,740472,316,295,1194,878
17,2,0;1,493648,493648,594,583,1194,600
17,3,0;4,740472,740472,420,384,1194,774
17,4,1;5,740472,740472,1188,1158,1194,6
17,5,3;4,493648,493648,701,665,1194,493
18,0,1;2,740472,740472,573,545,1139,566
18,1,0;2,740472,740472,317,296,1139,822
18,2,0;1,493648,493648,596,585,1139,543
18,3,0;4,740472,740472,426,390,1139,713
18,4,1;5,740472,740472,1133,1103,1139,6
18,5,3;4,493648,493648,680,644,1139,459
19,0,1;2,740472,740472,567,539,1109,542
19,1,0;2,740472,740472,316,295,1109,793
19,2,0;1,493648,493648,583,572,1109,526
19,3,0;4,740472,740472,418,382,1109,691
19,4,1;5,740472,740472,1103,1073,1109,6
19,5,3;4,493648,493648,677,641,1109,432
