round,node,idle_ticks,busy_ticks
0,0,551,567
0,1,804,314
0,2,528,590
0,3,697,421
0,4,6,1112
0,5,435,683
1,0,555,574
1,1,810,319
1,2,507,622
1,3,662,467
1,4,6,1123
1,5,449,680
2,0,567,556
2,1,812,311
2,2,546,577
2,3,701,422
2,4,6,1117
2,5,446,677
3,0,540,567
3,1,796,311
3,2,525,582
3,3,688,419
3,4,6,1101
3,5,433,674
4,0,569,561
4,1,807,323
4,2,538,592
4,3,707,423
4,4,6,1124
4,5,374,756
5,0,532,589
5,1,803,318
5,2,543,578
5,3,687,434
5,4,6,1115
5,5,428,693
6,0,564,567
6,1,816,315
6,2,537,594
6,3,709,422
6,4,6,1125
6,5,447,684
7,0,541,568
7,1,796,313
7,2,522,587
7,3,693,416
7,4,6,1103
7,5,426,683
8,0,560,564
8,1,809,315
8,2,530,594
8,3,695,429
8,4,6,1118
8,5,430,694
9,0,557,575
9,1,820,312
9,2,551,581
9,3,713,419
9,4,6,1126
9,5,453,679
10,0,547,564
10,1,794,317
10,2,525,586
10,3,684,427
10,4,6,1105
10,5,433,678
11,0,553,562
11,1,799,316
11,2,534,581
11,3,698,417
11,4,6,1109
11,5,434,681
12,0,553,565
12,1,794,324
12,2,524,594
12,3,689,429
12,4,6,1112
12,5,440,678
13,0,559,559
13,1,805,313
13,2,535,583
13,3,697,421
13,4,6,1112
13,5,431,687
14,0,569,573
14,1,766,376
14,2,528,614
14,3,703,439
14,4,6,1136
14,5,449,693
15,0,571,590
15,1,834,327
15,2,536,625
15,3,726,435
15,4,6,1155
15,5,463,698
16,0,554,569
16,1,805,318
16,2,536,587
16,3,703,420
16,4,6,1117
16,5,443,680
17,0,630,564
17,1,878,316
17,2,600,594
17,3,774,420
17,4,6,1188
17,5,493,701
18,0,566,573
18,1,822,317
18,2,543,596
18,3,713,426
18,4,6,1133
18,5,459,680
19,0,542,567
19,1,793,316
19,2,526,583
19,3,691,418
19,4,6,1103
19,5,432,677
