round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,1,246824,12,5883.333203,5883.333203,0
0,1,0,246824,12,5883.333203,5883.333203,0
0,0,2,246824,11,5883.333203,8824.999869,0
0,2,0,246824,11,8824.999869,5883.333203,0
0,0,3,246824,28,5883.333203,5883.333203,0
0,3,0,246824,28,5883.333203,5883.333203,0
0,1,2,246824,10,5883.333203,8824.999869,0
0,2,1,246824,10,8824.999869,5883.333203,0
0,1,4,246824,21,5883.333203,5883.333203,0
0,4,1,246824,21,5883.333203,5883.333203,0
0,3,4,246824,28,5883.333203,5883.333203,0
0,4,3,246824,28,5883.333203,5883.333203,0
0,3,5,246824,36,5883.333203,8824.999869,0
0,5,3,246824,36,8824.999869,5883.333203,0
0,4,5,246824,30,5883.333203,8824.999869,0
0,5,4,246824,30,8824.999869,5883.333203,0
1,0,1,246824,12,5913.888758,5913.888758,0
1,1,0,246824,12,5913.888758,5913.888758,0
1,0,2,246824,11,5913.888758,8870.833202,0
1,2,0,246824,11,8870.833202,5913.888758,0
1,0,3,246824,28,5913.888758,5913.888758,0
1,3,0,246824,28,5913.888758,5913.888758,0
1,1,2,246824,10,5913.888758,8870.833202,0
1,2,1,246824,10,8870.833202,5913.888758,0
1,1,4,246824,21,5913.888758,5913.888758,0
1,4,1,246824,21,5913.888758,5913.888758,0
1,3,4,246824,28,5913.888758,5913.888758,0
1,4,3,246824,28,5913.888758,5913.888758,0
1,3,5,246824,36,5913.888758,8870.833202,0
1,5,3,246824,36,8870.833202,5913.888758,0
1,4,5,246824,30,5913.888758,8870.833202,0
1,5,4,246824,30,8870.833202,5913.888758,0
2,0,1,246824,12,5897.222091,5897.222091,0
2,1,0,246824,12,5897.222091,5897.222091,0
2,0,2,246824,11,5897.222091,8845.833202,0
2,2,0,246824,11,8845.833202,5897.222091,0
2,0,3,246824,28,5897.222091,5897.222091,0
2,3,0,246824,28,5897.222091,5897.222091,0
2,1,2,246824,10,5897.222091,8845.833202,0
2,2,1,246824,10,8845.833202,5897.222091,0
2,1,4,246824,21,5897.222091,5897.222091,0
2,4,1,246824,21,5897.222091,5897.222091,0
2,3,4,246824,28,5897.222091,5897.222091,0
2,4,3,246824,28,5897.222091,5897.222091,0
2,3,5,246824,36,5897.222091,8845.833202,0
2,5,3,246824,36,8845.833202,5897.222091,0
2,4,5,246824,30,5897.222091,8845.833202,0
2,5,4,246824,30,8845.833202,5897.222091,0
3,0,1,246824,12,5852.777648,5852.777648,0
3,1,0,246824,12,5852.777648,5852.777648,0
3,0,2,246824,11,5852.777648,8779.166537,0
3,2,0,246824,11,8779.166537,5852.777648,0
3,0,3,246824,28,5852.777648,5852.777648,0
3,3,0,246824,28,5852.777648,5852.777648,0
3,1,2,246824,10,5852.777648,8779.166537,0
3,2,1,246824,10,8779.166537,5852.777648,0
3,1,4,246824,21,5852.777648,5852.777648,0
3,4,1,246824,21,5852.777648,5852.777648,0
3,3,4,246824,28,5852.777648,5852.777648,0
3,4,3,246824,28,5852.777648,5852.777648,0
3,3,5,246824,36,5852.777648,8779.166537,0
3,5,3,246824,36,8779.166537,5852.777648,0
3,4,5,246824,30,5852.777648,8779.166537,0
3,5,4,246824,30,8779.166537,5852.777648,0
4,0,1,246824,12,5916.666535,5916.666535,0
4,1,0,246824,12,5916.666535,5916.666535,0
4,0,2,246824,11,5916.666535,8874.999869,0
4,2,0,246824,11,8874.999869,5916.666535,0
4,0,3,246824,28,5916.666535,5916.666535,0
4,3,0,246824,28,5916.666535,5916.666535,0
4,1,2,246824,10,5916.666535,8874.999869,0
4,2,1,246824,10,8874.999869,5916.666535,0
4,1,4,246824,21,5916.666535,5916.666535,0
4,4,1,246824,21,5916.666535,5916.666535,0
4,3,4,246824,28,5916.666535,5916.666535,0
4,4,3,246824,28,5916.666535,5916.666535,0
4,3,5,246824,36,5916.666535,8874.999869,0
4,5,3,246824,36,8874.999869,5916.666535,0
4,4,5,246824,30,5916.666535,8874.999869,0
4,5,4,246824,30,8874.999869,5916.666535,0
5,0,1,246824,12,5891.666536,5891.666536,0
5,1,0,246824,12,5891.666536,5891.666536,0
5,0,2,246824,11,5891.666536,8837.499869,0
5,2,0,246824,11,8837.499869,5891.666536,0
5,0,3,246824,28,5891.666536,5891.666536,0
5,3,0,246824,28,5891.666536,5891.666536,0
5,1,2,246824,10,5891.666536,8837.499869,0
5,2,1,246824,10,8837.499869,5891.666536,0
5,1,4,246824,21,5891.666536,5891.666536,0
5,4,1,246824,21,5891.666536,5891.666536,0
5,3,4,246824,28,5891.666536,5891.666536,0
5,4,3,246824,28,5891.666536,5891.666536,0
5,3,5,246824,36,5891.666536,8837.499869,0
5,5,3,246824,36,8837.499869,5891.666536,0
5,4,5,246824,30,5891.666536,8837.499869,0
5,5,4,246824,30,8837.499869,5891.666536,0
6,0,1,246824,12,5919.444313,5919.444313,0
6,1,0,246824,12,5919.444313,5919.444313,0
6,0,2,246824,11,5919.444313,8879.166535,0
6,2,0,246824,11,8879.166535,5919.444313,0
6,0,3,246824,28,5919.444313,8879.166535,0
6,3,0,246824,28,8879.166535,5919.444313,0
6,1,2,246824,10,5919.444313,8879.166535,0
6,2,1,246824,10,8879.166535,5919.444313,0
6,1,4,246824,21,5919.444313,8879.166535,0
6,4,1,246824,21,8879.166535,5919.444313,0
6,3,5,246824,36,8879.166535,8879.166535,0
6,5,3,246824,36,8879.166535,8879.166535,0
6,4,5,246824,30,8879.166535,8879.166535,0
